ID_PRODUTO	DIA	FLAG_PROMOCAO	QUANTIDADE_ESTOQUE
24	2024-01-16	1	0
25	2024-01-16	0	0
1	2024-01-17	0	22
2	2024-01-17	0	0
3	2024-01-17	0	0
4	2024-01-17	0	2
5	2024-01-17	0	30
6	2024-01-17	0	0
7	2024-01-17	0	0
8	2024-01-17	1	0
9	2024-01-17	1	8
10	2024-01-17	0	0
11	2024-01-17	1	0
12	2024-01-17	0	1
13	2024-01-17	0	0
14	2024-01-17	0	0
15	2024-01-17	1	25
16	2024-01-17	1	39
17	2024-01-17	0	6
18	2024-01-17	0	0
19	2024-01-17	0	0
20	2024-01-17	0	0
21	2024-01-17	0	21
22	2024-01-17	0	0
23	2024-01-17	1	3
24	2024-01-17	0	0
25	2024-01-17	0	0
1	2024-01-18	1	22
2	2024-01-18	1	0
3	2024-01-18	0	0
4	2024-01-18	1	0
5	2024-01-18	0	29
6	2024-01-18	0	0
7	2024-01-18	1	0
8	2024-01-18	0	0
9	2024-01-18	0	1
10	2024-01-18	1	0
11	2024-01-18	1	0
12	2024-01-18	0	0
13	2024-01-18	0	0
14	2024-01-18	0	0
15	2024-01-18	0	25
16	2024-01-18	0	36
17	2024-01-18	0	4
18	2024-01-18	0	0
19	2024-01-18	0	0
20	2024-01-18	0	0
21	2024-01-18	0	16
22	2024-01-18	0	0
23	2024-01-18	1	0
24	2024-01-18	0	0
25	2024-01-18	0	0
1	2024-01-19	0	16
2	2024-01-19	0	0
3	2024-01-19	0	0
4	2024-01-19	0	0
5	2024-01-19	1	21
6	2024-01-19	1	0
7	2024-01-19	1	0
8	2024-01-19	1	0
9	2024-01-19	1	0
10	2024-01-19	1	0
11	2024-01-19	0	0
12	2024-01-19	0	0
13	2024-01-19	0	0
14	2024-01-19	0	0
15	2024-01-19	0	24
16	2024-01-19	0	33
17	2024-01-19	0	2
18	2024-01-19	0	0
19	2024-01-19	1	0
20	2024-01-19	1	0
21	2024-01-19	1	10
22	2024-01-19	0	0
23	2024-01-19	0	0
24	2024-01-19	0	0
25	2024-01-19	0	0
