ID_PRODUTO	DATA_EVENTO	PRECO	QUANTIDADE_ESTOQUE
15	2024-02-05	14.54	98
16	2024-02-05	10.17	90
17	2024-02-05	12.0	73
18	2024-02-05	12.16	61
19	2024-02-05	12.25	51
20	2024-02-05	14.67	33
21	2024-02-05	10.63	31
22	2024-02-05	14.2	18
23	2024-02-05	10.29	11
24	2024-02-05	14.86	7
25	2024-02-05	11.66	100
1	2024-02-06	12.9	87
2	2024-02-06	12.25	80
3	2024-02-06	12.9	66
4	2024-02-06	13.16	55
5	2024-02-06	13.04	44
6	2024-02-06	12.75	25
7	2024-02-06	12.96	22
8	2024-02-06	13.53	10
9	2024-02-06	13.37	8
10	2024-02-06	13.03	100
11	2024-02-06	10.05	84
12	2024-02-06	14.34	70
13	2024-02-06	12.8	62
14	2024-02-06	12.63	50
15	2024-02-06	11.77	47
16	2024-02-06	14.53	30
17	2024-02-06	13.71	12
18	2024-02-06	12.93	1
19	2024-02-06	11.23	100
20	2024-02-06	12.6	87
21	2024-02-06	13.01	68
22	2024-02-06	12.67	63
23	2024-02-06	14.29	52
24	2024-02-06	12.68	35
25	2024-02-06	13.72	28
1	2024-02-07	13.33	15
2	2024-02-07	14.51	7
3	2024-02-07	14.93	100
4	2024-02-07	11.13	90
5	2024-02-07	12.21	75
6	2024-02-07	10.33	72
7	2024-02-07	12.2	57
8	2024-02-07	13.89	54
9	2024-02-07	12.99	45
10	2024-02-07	13.18	28
11	2024-02-07	13.48	19
12	2024-02-07	12.01	13
13	2024-02-07	11.52	12
14	2024-02-07	12.75	3
15	2024-02-07	13.0	100
16	2024-02-07	13.44	94
17	2024-02-07	13.57	92
18	2024-02-07	11.08	89
19	2024-02-07	10.32	87
20	2024-02-07	11.06	73
21	2024-02-07	10.78	71
22	2024-02-07	10.39	66
23	2024-02-07	14.42	51
24	2024-02-07	14.88	49
25	2024-02-07	10.04	43
1	2024-02-08	10.28	39
2	2024-02-08	13.57	32
3	2024-02-08	11.9	23
4	2024-02-08	12.99	8
5	2024-02-08	11.12	100
6	2024-02-08	10.63	99
7	2024-02-08	11.21	95
8	2024-02-08	10.14	81
9	2024-02-08	11.74	74
10	2024-02-08	10.22	70
11	2024-02-08	12.67	61
12	2024-02-08	14.86	51
13	2024-02-08	11.71	45
14	2024-02-08	12.74	30
15	2024-02-08	13.48	28
16	2024-02-08	14.15	27
17	2024-02-08	14.27	26
18	2024-02-08	14.3	18
19	2024-02-08	13.0	9
20	2024-02-08	13.11	100
21	2024-02-08	13.47	89
22	2024-02-08	14.13	83
23	2024-02-08	15.0	71
24	2024-02-08	14.98	69
25	2024-02-08	12.29	50
